ngram_range,max_features,min_df,umap_dims,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 1)",3000,2,10,1.0,10,46,0.01263001485884101,0.35929074883461,0.9059217292008257
"(1, 1)",3000,2,10,1.0,15,34,0.039190193164933135,0.3349727690219879,1.190214903815919
"(1, 1)",3000,2,20,0.2,5,159,0.09101040118870728,0.43612053990364075,0.8412416424845877
"(1, 1)",3000,2,20,0.2,10,123,0.2085809806835067,0.379984974861145,0.9024661504653873
"(1, 1)",3000,2,20,0.2,15,91,0.35698365527488857,0.19808152318000793,1.1249052086470757
"(1, 1)",3000,2,20,0.4,5,78,0.003900445765230312,0.29326972365379333,0.922285799637635
"(1, 1)",3000,2,20,0.4,10,72,0.02711738484398217,0.40953192114830017,1.1296570544931026
"(1, 1)",3000,2,20,0.4,15,62,0.07262258543833582,0.3866567313671112,1.338255224580755
"(1, 1)",3000,2,20,0.6,5,65,0.0007429420505200594,0.26382750272750854,0.6009558816539534
"(1, 1)",3000,2,20,0.6,10,55,0.017087667161961365,0.34764939546585083,1.0560364748139117
"(1, 1)",3000,2,20,0.6,15,44,0.04791976225854384,0.25830405950546265,1.2247944507179722
"(1, 1)",3000,2,20,0.8,5,60,0.0,0.301516056060791,0.3387891252320314
"(1, 1)",3000,2,20,0.8,10,50,0.013558692421991085,0.33527871966362,1.011909128816954
"(1, 1)",3000,2,20,0.8,15,39,0.04011887072808321,0.322823703289032,1.0508413547300341
"(1, 1)",3000,2,20,1.0,5,52,0.0,0.3551134765148163,0.29535742072341664
"(1, 1)",3000,2,20,1.0,10,44,0.011329866270430906,0.4116887152194977,1.0073235315300373
"(1, 1)",3000,2,20,1.0,15,33,0.037518573551263,0.3898739814758301,1.0138513825645046
"(1, 1)",3000,2,50,0.2,5,155,0.09806835066864784,0.4390403926372528,0.9056439698068178
"(1, 1)",3000,2,50,0.2,10,129,0.2148959881129272,0.3695210814476013,0.9232920063820282
"(1, 1)",3000,2,50,0.2,15,93,0.35289747399702825,0.21847687661647797,1.0682686970761195
"(1, 1)",3000,2,50,0.4,5,83,0.004457652303120356,0.3073680102825165,0.8841422949941025
"(1, 1)",3000,2,50,0.4,10,75,0.03287518573551263,0.4415470063686371,1.099281220413496
"(1, 1)",3000,2,50,0.4,15,61,0.07968053491827637,0.3956831991672516,1.3616895812208876
"(1, 1)",3000,2,50,0.6,5,66,0.0,0.3954254984855652,0.30829535657264706
"(1, 1)",3000,2,50,0.6,10,55,0.016530460624071323,0.41540616750717163,1.0329369865766815
"(1, 1)",3000,2,50,0.6,15,43,0.049219910846953936,0.3085911273956299,1.216599656841774
