ngram_range,max_features,min_df,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 2)",5000,2,0.4,10,75,0.03319795161575137,0.3177322745323181,1.4098653530569791
"(1, 2)",5000,2,0.4,15,60,0.08211195479427866,0.36781230568885803,1.5311150056399492
"(1, 2)",5000,2,0.6,5,74,0.0007063393960798164,0.3445833921432495,0.28303061371476695
"(1, 2)",5000,2,0.6,10,61,0.018717993996115134,0.39632681012153625,1.3384424703012203
"(1, 2)",5000,2,0.6,15,46,0.05491788804520572,0.3850565552711487,1.543962112179315
"(1, 2)",5000,2,0.8,5,68,0.0,0.4942229986190796,0.23342333868516807
"(1, 2)",5000,2,0.8,10,55,0.016775560656895637,0.47804856300354004,1.2992408919415825
"(1, 2)",5000,2,0.8,15,41,0.04573547589616811,0.45071661472320557,1.5740214717323642
"(1, 2)",5000,2,1.0,5,66,0.0,0.5568408966064453,0.2161581839615624
"(1, 2)",5000,2,1.0,10,53,0.016775560656895637,0.5583774447441101,1.2891440314326614
"(1, 2)",5000,2,1.0,15,40,0.043793042556948616,0.5252765417098999,1.6146379574716236
"(1, 3)",1000,2,0.2,5,163,0.09164753664135618,0.42005982995033264,0.8178115792199553
"(1, 3)",1000,2,0.2,10,129,0.20130672788274767,0.40430259704589844,0.9782212377366816
"(1, 3)",1000,2,0.2,15,92,0.3291541585731944,0.25525325536727905,0.9632152814970193
"(1, 3)",1000,2,0.4,5,75,0.004061451527458944,0.31991568207740784,0.6529535653047497
"(1, 3)",1000,2,0.4,10,70,0.026311142503973158,0.35187673568725586,1.2498429615761544
"(1, 3)",1000,2,0.4,15,57,0.07028076990994173,0.3544224500656128,1.1948503758478428
"(1, 3)",1000,2,0.6,5,55,0.0008829242450997704,0.14785219728946686,0.5419264349267358
"(1, 3)",1000,2,0.6,10,49,0.011124845488257108,0.14843565225601196,1.2747201918425213
"(1, 3)",1000,2,0.6,15,40,0.035316969803990815,0.17788763344287872,1.0663294867471516
"(1, 3)",1000,2,0.8,5,45,0.0,0.14769840240478516,0.4164388113281908
"(1, 3)",1000,2,0.8,10,37,0.010241921243157337,0.18599215149879456,1.1938870237434833
"(1, 3)",1000,2,0.8,15,31,0.024898463711813527,0.19055695831775665,0.8899378423668836
"(1, 3)",1000,2,1.0,5,40,0.0,0.25189536809921265,0.33632384640057095
"(1, 3)",1000,2,1.0,10,34,0.008476072752957796,0.28095704317092896,1.106836091270176
"(1, 3)",1000,2,1.0,15,28,0.021366766731414445,0.27883660793304443,0.8469500120538668
"(1, 3)",3000,2,0.2,5,176,0.07187003355112132,0.4863668382167816,0.863678712494789
"(1, 3)",3000,2,0.2,10,134,0.1841779975278121,0.40311601758003235,1.0334486854050242
"(1, 3)",3000,2,0.2,15,102,0.3288009888751545,0.24971261620521545,1.0325134311688664
"(1, 3)",3000,2,0.4,5,94,0.004414621225498852,0.25905126333236694,0.5584864189112518
"(1, 3)",3000,2,0.4,10,77,0.03337453646477132,0.30241844058036804,1.2131773789421723
"(1, 3)",3000,2,0.4,15,62,0.08829242450997704,0.30953481793403625,1.4338910265866263
"(1, 3)",3000,2,0.6,5,68,0.0,0.136362686753273,0.4509925326013273
"(1, 3)",3000,2,0.6,10,59,0.013950203072576373,0.1058257669210434,0.9848086672822011
"(1, 3)",3000,2,0.6,15,44,0.05138619106480664,0.2463691085577011,1.4722128117329485
"(1, 3)",3000,2,0.8,5,60,0.0,0.26266947388648987,0.36350513682452174
"(1, 3)",3000,2,0.8,10,50,0.012714109129436693,0.2663596570491791,0.9288851714194981
"(1, 3)",3000,2,0.8,15,35,0.04414621225498852,0.23803523182868958,1.288863280425365
"(1, 3)",3000,2,1.0,5,58,0.0,0.2575223743915558,0.3545200046943418
"(1, 3)",3000,2,1.0,10,48,0.012714109129436693,0.30927884578704834,0.9342178738292588
"(1, 3)",3000,2,1.0,15,34,0.041674024368709164,0.3380192518234253,1.2345374956147674
"(1, 3)",5000,2,0.2,5,172,0.07628465477662016,0.468710333108902,0.9077216470479866
"(1, 3)",5000,2,0.2,10,132,0.18876920360233093,0.42287856340408325,1.0944310606178016
"(1, 3)",5000,2,0.2,15,104,0.3003708281829419,0.2872660756111145,1.1015617957944481
"(1, 3)",5000,2,0.4,5,85,0.0031785272823591734,0.3943975567817688,0.49986305484058013
"(1, 3)",5000,2,0.4,10,73,0.033904291011831185,0.4803820848464966,1.2512507656158656
"(1, 3)",5000,2,0.4,15,58,0.08016952145505915,0.428559273481369,1.3903680720726501
"(1, 3)",5000,2,0.6,5,74,0.0,0.4014867842197418,0.24373141080777208
"(1, 3)",5000,2,0.6,10,60,0.01942433339219495,0.43394139409065247,1.1650625163537454
"(1, 3)",5000,2,0.6,15,46,0.051209606215786685,0.41300174593925476,1.331070492090176
"(1, 3)",5000,2,0.8,5,72,0.0,0.4542121887207031,0.23176575779298758
"(1, 3)",5000,2,0.8,10,59,0.0173053152039555,0.5001211166381836,1.2002033474541014
"(1, 3)",5000,2,0.8,15,45,0.04714815468832774,0.5251588821411133,1.3406991916811901
"(1, 3)",5000,2,1.0,5,68,0.0,0.5253273844718933,0.20947415081942408
"(1, 3)",5000,2,1.0,10,57,0.01430337277061628,0.5527777075767517,1.2709774418063013
"(1, 3)",5000,2,1.0,15,46,0.03990817587850962,0.5332273840904236,1.396284048547997
